"","Species","Region","Individual_ID","Island","Flipper_Length_mm","Body_mass_g","Sex"
"28","Adelie Penguin (Pygoscelis adeliae)","Anvers","N27A1","Biscoe",185,3150,"FEMALE"
"29","Adelie Penguin (Pygoscelis adeliae)","Anvers","N28A1","Biscoe",185,3600,"FEMALE"
"30","Adelie Penguin (Pygoscelis adeliae)","Anvers","N29A1","Biscoe",184,2850,"FEMALE"
"31","Adelie Penguin (Pygoscelis adeliae)","Anvers","N30A1","Biscoe",195,3350,"FEMALE"
"32","Adelie Penguin (Pygoscelis adeliae)","Anvers","N32A1","Torgersen",190,3050,"FEMALE"
"33","Adelie Penguin (Pygoscelis adeliae)","Anvers","N34A1","Torgersen",190,3600,"FEMALE"
"34","Adelie Penguin (Pygoscelis adeliae)","Anvers","N35A1","Torgersen",196,3550,"FEMALE"
"35","Adelie Penguin (Pygoscelis adeliae)","Anvers","N36A1","Torgersen",190,3700,"FEMALE"
"36","Adelie Penguin (Pygoscelis adeliae)","Anvers","N37A1","Torgersen",191,3700,"FEMALE"
"37","Adelie Penguin (Pygoscelis adeliae)","Anvers","N38A1","Torgersen",187,3550,"FEMALE"
"38","Adelie Penguin (Pygoscelis adeliae)","Anvers","N39A1","Torgersen",189,3200,"FEMALE"
"39","Adelie Penguin (Pygoscelis adeliae)","Anvers","N40A1","Torgersen",187,3800,"FEMALE"
"40","Adelie Penguin (Pygoscelis adeliae)","Anvers","N41A1","Dream",191,3350,"FEMALE"
"41","Adelie Penguin (Pygoscelis adeliae)","Anvers","N42A2","Dream",189,3500,"FEMALE"
"42","Adelie Penguin (Pygoscelis adeliae)","Anvers","N44A2","Dream",190,3600,"FEMALE"
"43","Adelie Penguin (Pygoscelis adeliae)","Anvers","N45A1","Dream",202,3550,"FEMALE"
"44","Adelie Penguin (Pygoscelis adeliae)","Anvers","N46A1","Dream",185,3400,"FEMALE"
"45","Adelie Penguin (Pygoscelis adeliae)","Anvers","N48A1","Dream",187,3300,"FEMALE"
"46","Adelie Penguin (Pygoscelis adeliae)","Anvers","N49A1","Dream",190,3700,"FEMALE"
"47","Adelie Penguin (Pygoscelis adeliae)","Anvers","N50A1","Dream",178,2900,"FEMALE"
"48","Adelie Penguin (Pygoscelis adeliae)","Anvers","N47A1","Biscoe",192,3725,"FEMALE"
"49","Adelie Penguin (Pygoscelis adeliae)","Anvers","N49A1","Biscoe",183,3075,"FEMALE"
"50","Adelie Penguin (Pygoscelis adeliae)","Anvers","N51A1","Biscoe",193,2925,"FEMALE"
"51","Adelie Penguin (Pygoscelis adeliae)","Anvers","N53A1","Biscoe",199,3750,"FEMALE"
"52","Adelie Penguin (Pygoscelis adeliae)","Anvers","N55A1","Biscoe",181,3175,"FEMALE"
"53","Adelie Penguin (Pygoscelis adeliae)","Anvers","N58A1","Biscoe",198,3825,"FEMALE"
"54","Adelie Penguin (Pygoscelis adeliae)","Anvers","N60A1","Biscoe",193,3200,"FEMALE"
"55","Adelie Penguin (Pygoscelis adeliae)","Anvers","N61A1","Biscoe",191,3900,"FEMALE"
"56","Adelie Penguin (Pygoscelis adeliae)","Anvers","N63A1","Torgersen",188,2900,"FEMALE"
"57","Adelie Penguin (Pygoscelis adeliae)","Anvers","N64A1","Torgersen",189,3350,"FEMALE"
"58","Adelie Penguin (Pygoscelis adeliae)","Anvers","N66A1","Torgersen",187,3150,"FEMALE"
"59","Adelie Penguin (Pygoscelis adeliae)","Anvers","N67A1","Torgersen",176,3450,"FEMALE"
"60","Adelie Penguin (Pygoscelis adeliae)","Anvers","N69A1","Torgersen",186,3050,"FEMALE"
"61","Adelie Penguin (Pygoscelis adeliae)","Anvers","N71A1","Torgersen",191,3275,"FEMALE"
"62","Adelie Penguin (Pygoscelis adeliae)","Anvers","N72A1","Torgersen",191,3050,"FEMALE"
"63","Adelie Penguin (Pygoscelis adeliae)","Anvers","N73A1","Torgersen",190,3325,"FEMALE"
"64","Adelie Penguin (Pygoscelis adeliae)","Anvers","N76A1","Dream",193,3500,"FEMALE"
"65","Adelie Penguin (Pygoscelis adeliae)","Anvers","N77A1","Dream",187,3425,"FEMALE"
"66","Adelie Penguin (Pygoscelis adeliae)","Anvers","N78A1","Dream",191,3175,"FEMALE"
"67","Adelie Penguin (Pygoscelis adeliae)","Anvers","N79A1","Dream",185,3400,"FEMALE"
"68","Adelie Penguin (Pygoscelis adeliae)","Anvers","N80A1","Dream",193,3400,"FEMALE"
"69","Adelie Penguin (Pygoscelis adeliae)","Anvers","N81A1","Dream",188,3050,"FEMALE"
"70","Adelie Penguin (Pygoscelis adeliae)","Anvers","N82A1","Dream",192,3000,"FEMALE"
"71","Adelie Penguin (Pygoscelis adeliae)","Anvers","N83A2","Dream",184,3475,"FEMALE"
"72","Adelie Penguin (Pygoscelis adeliae)","Anvers","N84A1","Dream",195,3450,"FEMALE"
"73","Adelie Penguin (Pygoscelis adeliae)","Anvers","N85A1","Dream",187,3700,"FEMALE"
